date,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
2023-04-15,Real Betis,Espanyol,3,1,15,13,8,4,4,13,2,2,0,0
2023-04-15,Villarreal,Real Valladolid,1,2,22,14,7,7,8,5,1,6,0,0
2023-04-16,Girona,Elche,2,0,14,13,4,5,3,4,3,3,0,1
2023-04-16,Getafe,Barcelona,0,0,5,15,1,3,1,5,2,1,0,0
2023-04-16,Atletico Madrid,Almeria,2,1,19,2,7,0,9,2,3,3,0,0
2023-04-16,Valencia,Sevilla,0,2,13,6,3,3,6,2,1,4,1,0
2023-04-17,Celta de Vigo,Mallorca,0,1,12,8,3,2,7,5,2,1,1,0
2023-04-21,Espanyol,Cadiz,0,0,14,11,5,2,6,3,4,2,0,0
2023-04-22,Osasuna,Real Betis,3,2,10,21,5,6,5,13,2,0,0,0
2023-04-22,Almeria,Athletic Bilbao,1,2,12,14,4,3,3,4,2,4,0,0
2023-04-22,Real Sociedad,Rayo Vallecano,2,1,7,7,1,2,3,3,1,2,0,0
2023-04-22,Real Valladolid,Girona,1,0,15,12,6,6,5,7,1,1,0,0
2023-04-22,Real Madrid,Celta de Vigo,2,0,17,12,5,2,8,3,1,2,0,0
2023-04-23,Sevilla,Villarreal,2,1,17,17,4,5,5,3,1,2,0,0
2023-04-23,Mallorca,Getafe,3,1,8,3,4,1,2,2,2,3,0,0
2023-04-23,Barcelona,Atletico Madrid,1,0,13,13,4,3,3,3,4,7,0,0
2023-04-23,Elche,Valencia,0,2,7,5,1,3,11,6,3,1,0,0
2023-04-25,Cadiz,Osasuna,0,1,20,6,4,4,11,2,0,1,0,1
2023-04-25,Real Betis,Real Sociedad,0,0,10,10,1,3,2,4,1,3,0,0
2023-04-25,Girona,Real Madrid,4,2,13,18,5,3,3,8,1,2,0,0
2023-04-26,Atletico Madrid,Mallorca,3,1,24,6,9,2,5,8,0,0,0,0
2023-04-26,Getafe,Almeria,1,2,21,23,9,11,4,6,2,2,1,0
2023-04-26,Celta de Vigo,Elche,1,0,17,16,9,1,10,6,0,0,0,0
2023-04-26,Rayo Vallecano,Barcelona,2,1,9,10,6,5,3,9,1,4,0,0
2023-04-27,Athletic Bilbao,Sevilla,0,1,7,4,2,1,8,2,3,3,0,0
2023-04-27,Valencia,Real Valladolid,2,1,18,8,5,2,6,2,0,4,0,0
2023-04-27,Villarreal,Espanyol,4,2,31,13,13,4,9,2,2,4,0,1
2023-04-28,Osasuna,Real Sociedad,0,2,13,12,1,8,4,2,3,1,0,0
